order_id,customer_id,restaurant_id,order_date,payment_method,order_status,total_amount
52,537,96,2025-07-28,Cash,Cancelled,706.04
53,645,66,2025-12-16,Card,Delivered,2556.54
54,886,37,2025-02-02,Cash,Cancelled,1424.26
55,943,90,2025-05-14,Cash,Cancelled,543.74
56,868,71,2025-08-19,UPI,Cancelled,2695.62
57,373,87,2025-04-22,Cash,Cancelled,1141.03
58,807,64,2025-12-21,Cash,Cancelled,1958.53
59,179,29,2025-11-30,UPI,Cancelled,745.27
60,114,87,2025-07-30,Card,Cancelled,2935.11
61,175,94,2025-02-14,UPI,Delivered,1517.38
62,180,46,2025-04-17,Cash,Cancelled,984.42
63,291,42,2025-02-26,UPI,Cancelled,1735.69
64,965,41,2025-09-08,Card,Delivered,976.41
65,198,88,2025-03-03,UPI,Cancelled,810.37
66,490,86,2025-02-02,Card,Delivered,2765.39
67,116,68,2025-02-15,Cash,Cancelled,1194.82
68,749,77,2025-06-26,Card,Cancelled,1014.87
69,134,1,2025-04-23,UPI,Delivered,2549.19
70,426,64,2025-12-25,Card,Cancelled,785.2
71,590,15,2025-02-10,Cash,Delivered,983.9
72,192,91,2025-08-21,UPI,Cancelled,2955.22
73,881,63,2025-03-04,Card,Cancelled,160.99
74,784,57,2025-08-05,UPI,Cancelled,342.73
75,414,17,2025-06-14,UPI,Cancelled,2106.33
76,187,93,2025-10-24,Card,Delivered,2728.57
77,998,62,2025-10-29,Card,Cancelled,1293.09
78,452,57,2025-11-23,Card,Cancelled,193.76
79,665,17,2025-03-19,UPI,Delivered,2010.96
80,313,61,2025-04-30,UPI,Delivered,1024.33
81,937,36,2025-09-04,UPI,Cancelled,2191.32
82,293,80,2025-12-29,Card,Delivered,932.47
83,636,18,2025-07-27,Card,Cancelled,418.08
84,692,100,2025-10-01,Cash,Cancelled,2168.18
85,108,46,2025-03-05,Cash,Delivered,2613.03
86,738,54,2025-05-11,UPI,Delivered,2217.13
87,923,16,2025-06-21,Card,Cancelled,1559.12
88,503,2,2025-11-12,UPI,Delivered,2431.4
89,247,62,2025-08-09,UPI,Cancelled,2920.36
90,776,16,2025-07-13,Card,Cancelled,2098.09
91,633,64,2025-10-25,Cash,Delivered,2392.02
92,763,89,2025-05-21,UPI,Delivered,1737.21
93,493,69,2025-07-05,UPI,Delivered,2503.22
94,4,13,2025-08-18,UPI,Cancelled,642.08
95,966,53,2025-01-15,UPI,Cancelled,2972.43
96,347,38,2025-01-14,Card,Cancelled,2597.62
97,666,50,2025-09-25,UPI,Cancelled,2186.48
98,528,2,2025-10-11,Card,Delivered,2999.56
99,779,14,2025-03-18,UPI,Delivered,814.27
100,794,42,2025-07-25,Cash,Delivered,591.76
101,3,66,2025-05-14,Card,Cancelled,1640.74
102,414,62,2025-10-25,UPI,Delivered,2332.19
103,289,46,2025-04-10,UPI,Cancelled,2946.63
104,236,64,2025-07-08,UPI,Delivered,1912.46
105,540,84,2025-07-02,UPI,Cancelled,2896.21
106,279,90,2025-03-05,Cash,Delivered,2623.53
107,759,20,2025-05-11,UPI,Delivered,2434.02
108,617,59,2025-09-18,Cash,Delivered,559.75
109,341,12,2025-09-03,Card,Delivered,543.8
110,796,17,2025-11-22,UPI,Cancelled,2261.62
111,787,25,2025-08-18,Cash,Cancelled,1959.92
112,290,70,2025-06-10,UPI,Cancelled,317.33
113,659,11,2025-01-31,Card,Cancelled,294.96
114,302,7,2025-08-29,Card,Cancelled,1986.06
115,298,36,2025-05-13,Cash,Cancelled,1250.96
116,466,96,2025-11-16,UPI,Cancelled,2089.79
117,957,6,2025-03-12,UPI,Cancelled,1379.2
118,980,17,2025-05-16,Cash,Delivered,784.29
119,766,43,2025-03-15,UPI,Delivered,796.52
120,165,80,2025-06-14,UPI,Delivered,2495.74
121,971,98,2025-05-14,UPI,Delivered,1693.27
122,486,55,2025-07-29,Card,Cancelled,508.83
123,823,99,2025-02-02,UPI,Cancelled,449.88
124,425,49,2025-03-17,Card,Delivered,1160.12
125,649,95,2025-08-28,Card,Cancelled,381.13
126,248,77,2025-02-17,UPI,Delivered,534.83
127,399,45,2025-11-25,UPI,Delivered,840.83
128,933,54,2025-12-13,Cash,Delivered,1585.15
129,965,30,2025-12-02,Cash,Delivered,270.79
130,678,90,2025-06-07,Card,Cancelled,177.41
131,290,52,2025-06-06,Card,Cancelled,523.76
132,294,18,2025-03-22,Card,Delivered,2580.88
133,409,54,2025-09-28,Cash,Delivered,1859.09
134,252,8,2025-09-16,Cash,Delivered,1087.81
135,33,31,2025-11-11,Card,Cancelled,1518.3
136,306,99,2025-01-11,Card,Cancelled,378.61
137,827,74,2025-03-01,Card,Delivered,1095.94
138,780,21,2025-05-30,Cash,Cancelled,571.11
139,393,7,2025-12-26,Cash,Cancelled,368.53
140,107,24,2025-12-11,Card,Cancelled,1278.35
141,764,1,2025-05-16,Card,Cancelled,641.0
142,868,48,2025-11-06,Card,Delivered,885.47
143,731,1,2025-06-18,Cash,Cancelled,1289.01
144,952,35,2025-11-15,Card,Cancelled,1643.16
145,589,37,2025-06-01,Card,Cancelled,726.51
146,123,97,2025-11-11,Cash,Cancelled,1098.98
147,222,2,2025-05-23,Cash,Delivered,276.58
148,20,90,2025-03-28,Card,Cancelled,672.67
149,159,77,2025-10-14,Cash,Delivered,377.73
150,821,66,2025-07-27,Cash,Cancelled,1884.52
151,4,63,2025-01-17,Cash,Delivered,1399.69
152,778,25,2025-07-27,Cash,Delivered,2804.06
153,660,82,2025-05-05,UPI,Cancelled,238.77
154,350,83,2025-06-27,Card,Cancelled,2293.63
155,476,17,2025-02-01,UPI,Cancelled,512.6
156,199,1,2025-09-15,Cash,Delivered,899.61
157,625,3,2025-08-17,UPI,Delivered,357.04
158,262,7,2025-10-24,Card,Delivered,449.43
159,711,94,2025-05-25,Cash,Delivered,716.37
160,601,8,2025-11-12,Card,Cancelled,1963.02
161,629,56,2025-10-12,Cash,Delivered,562.6
162,728,59,2025-01-03,Card,Cancelled,2415.32
163,816,42,2025-11-14,UPI,Cancelled,651.03
164,475,30,2025-04-29,UPI,Delivered,1557.62
165,312,89,2025-08-16,Card,Delivered,244.08
166,854,25,2025-03-11,Cash,Delivered,1975.09
167,688,99,2025-02-21,Cash,Cancelled,1622.79
168,291,44,2025-10-16,Card,Delivered,606.99
169,348,47,2025-04-04,UPI,Cancelled,1725.76
170,992,37,2025-09-20,Card,Cancelled,1530.43
171,228,69,2025-05-29,Card,Delivered,460.69
172,599,65,2025-09-12,UPI,Cancelled,241.64
173,932,73,2025-12-04,Cash,Cancelled,473.98
174,193,27,2025-04-07,Card,Cancelled,2641.84
175,367,90,2025-05-01,UPI,Delivered,780.73
176,311,12,2025-12-23,UPI,Delivered,924.18
177,609,18,2025-07-30,Cash,Cancelled,348.0
178,97,62,2025-07-09,Cash,Cancelled,2841.88
179,189,58,2025-06-30,Card,Cancelled,2101.59
180,310,89,2025-08-16,Cash,Cancelled,1756.86
181,188,95,2025-08-23,Cash,Cancelled,882.35
182,478,91,2025-08-08,Cash,Cancelled,176.33
183,462,8,2025-01-11,Card,Delivered,2271.38
184,613,61,2025-03-06,Cash,Delivered,856.08
185,330,17,2025-11-11,Card,Delivered,1447.25
186,57,48,2025-09-27,Cash,Delivered,2397.54
187,256,66,2025-10-19,Cash,Delivered,1506.7
188,450,45,2025-09-28,Cash,Cancelled,336.44
189,304,19,2025-03-01,Card,Cancelled,1632.54
190,592,56,2025-04-11,Cash,Cancelled,1887.64
191,842,60,2025-04-24,Card,Delivered,1526.62
192,80,45,2025-06-28,UPI,Cancelled,1669.32
193,383,8,2025-02-08,Card,Delivered,2253.72
194,261,94,2025-05-06,UPI,Cancelled,2278.99
195,778,14,2025-11-23,Card,Delivered,1563.86
196,47,7,2025-01-07,Cash,Cancelled,2247.25
197,200,26,2025-01-16,Card,Delivered,2799.45
198,22,30,2025-09-04,UPI,Delivered,981.35
199,34,6,2025-06-16,Card,Cancelled,1895.71
200,902,19,2025-10-08,Cash,Cancelled,1264.31
201,70,78,2025-02-28,Card,Cancelled,1005.03
202,181,65,2025-08-07,Card,Cancelled,356.65
203,615,72,2025-06-01,Cash,Delivered,1250.0
204,865,66,2025-07-25,UPI,Cancelled,629.37
205,858,53,2025-09-12,Cash,Delivered,2001.36
206,866,63,2025-05-31,Card,Cancelled,1570.99
207,665,88,2025-12-01,UPI,Delivered,2673.79
208,548,20,2025-07-21,UPI,Delivered,2953.3
209,677,4,2025-02-20,Cash,Delivered,1584.61
210,888,55,2025-10-04,UPI,Cancelled,936.39
211,332,71,2025-03-20,Card,Delivered,566.5
212,795,46,2025-02-01,Cash,Cancelled,1671.47
213,123,95,2025-10-10,UPI,Delivered,2781.11
214,105,60,2025-11-02,Cash,Cancelled,1003.4
215,245,11,2025-06-10,Cash,Delivered,2099.38
216,730,85,2025-09-07,Card,Cancelled,1428.18
217,183,33,2025-05-27,Card,Cancelled,899.04
218,313,55,2025-11-11,Card,Cancelled,1083.8
219,172,10,2025-04-16,Cash,Cancelled,344.41
220,951,87,2025-08-21,Cash,Delivered,264.09
221,670,52,2025-07-08,Card,Cancelled,2878.8
222,741,32,2025-11-08,Card,Delivered,2406.57
223,333,15,2025-03-29,Card,Cancelled,864.07
224,272,25,2025-03-15,UPI,Cancelled,2304.61
225,298,35,2025-07-24,Card,Cancelled,1982.59
226,844,9,2025-11-28,Card,Delivered,1356.27
227,151,87,2025-05-20,Card,Cancelled,343.3
228,494,45,2025-01-02,Card,Delivered,1573.69
229,609,64,2025-08-08,Cash,Cancelled,412.91
230,778,94,2025-10-15,Card,Cancelled,625.23
231,932,38,2025-05-08,UPI,Cancelled,1902.07
232,989,66,2025-11-28,Card,Cancelled,462.23
233,284,2,2025-05-14,Cash,Cancelled,1541.41
234,559,63,2025-10-19,UPI,Cancelled,1401.4
235,402,81,2025-10-30,Cash,Delivered,926.65
236,909,16,2025-12-28,Cash,Cancelled,248.74
237,499,93,2025-09-14,UPI,Cancelled,1607.51
238,424,79,2025-11-25,UPI,Delivered,1483.23
239,463,8,2025-07-24,Card,Cancelled,771.34
240,802,62,2025-08-17,Cash,Delivered,2084.23
241,320,9,2025-07-07,UPI,Delivered,2783.14
242,622,84,2025-03-10,Card,Delivered,1607.31
243,431,65,2025-02-06,UPI,Cancelled,1606.28
244,904,21,2025-06-19,UPI,Cancelled,2197.92
245,487,3,2025-11-28,UPI,Delivered,701.84
246,877,100,2025-05-05,Cash,Cancelled,2166.41
247,164,30,2025-12-17,UPI,Cancelled,165.85
248,619,47,2025-08-02,Cash,Delivered,157.77
249,943,51,2025-03-24,Card,Delivered,710.32
250,408,91,2025-09-28,Cash,Cancelled,595.38
251,935,84,2025-06-06,Cash,Cancelled,2653.5
252,580,54,2025-07-06,UPI,Delivered,592.62
253,720,77,2025-11-04,Card,Cancelled,547.17
254,159,72,2025-01-25,Cash,Cancelled,2945.81
255,554,18,2025-08-31,Cash,Cancelled,1526.61
256,394,18,2025-12-26,UPI,Delivered,2438.26
257,182,37,2025-02-25,Cash,Delivered,1036.99
258,485,59,2025-07-13,UPI,Cancelled,2351.26
259,746,39,2025-01-16,UPI,Cancelled,2425.28
260,122,7,2025-01-11,Cash,Delivered,2547.19
261,302,3,2025-07-20,Card,Delivered,1778.21
262,906,66,2025-04-13,UPI,Delivered,2102.48
263,122,97,2025-07-03,UPI,Delivered,1397.87
264,706,94,2025-05-29,Card,Cancelled,257.76
265,142,84,2025-08-02,Cash,Cancelled,1989.83
266,683,40,2025-07-15,Card,Cancelled,2880.43
267,714,12,2025-09-10,UPI,Cancelled,283.28
268,892,90,2025-03-24,Card,Delivered,1172.95
269,490,38,2025-03-21,UPI,Delivered,2523.12
270,786,91,2025-02-02,Card,Delivered,948.74
271,970,60,2025-12-02,UPI,Delivered,1671.53
272,197,45,2025-11-07,Cash,Delivered,904.64
273,728,14,2025-10-11,UPI,Delivered,1291.15
274,143,91,2025-12-21,Cash,Delivered,822.7
275,115,28,2025-08-26,Cash,Delivered,2596.27
276,465,75,2025-06-08,Cash,Cancelled,1236.81
277,308,52,2025-11-03,Card,Cancelled,1935.76
278,119,55,2025-10-09,UPI,Delivered,1234.71
279,321,75,2025-11-15,UPI,Delivered,1260.91
280,666,41,2025-01-01,UPI,Cancelled,1533.56
281,932,71,2025-10-18,UPI,Delivered,385.36
282,198,36,2025-08-31,Cash,Delivered,1103.06
283,369,45,2025-08-23,Card,Cancelled,2654.55
284,25,10,2025-03-20,UPI,Delivered,2665.13
285,799,26,2025-10-12,Card,Cancelled,1161.35
286,137,11,2025-02-24,Card,Delivered,2343.9
287,35,4,2025-11-20,Card,Cancelled,466.03
288,488,69,2025-12-12,Cash,Cancelled,2550.36
289,4,13,2025-08-13,Cash,Delivered,2047.38
290,657,35,2025-09-02,Cash,Delivered,2443.81
291,741,80,2025-09-25,Card,Delivered,1227.53
292,96,14,2025-02-06,UPI,Delivered,1352.03
293,467,46,2025-09-26,UPI,Delivered,1528.71
294,284,72,2025-08-07,UPI,Cancelled,2614.67
295,738,56,2025-12-07,Card,Delivered,2265.61
296,662,7,2025-01-28,Cash,Cancelled,273.64
297,442,50,2025-07-04,Cash,Cancelled,710.23
298,99,97,2025-02-20,UPI,Delivered,1798.67
299,677,35,2025-04-30,Card,Cancelled,156.77
300,940,49,2025-10-02,UPI,Delivered,1959.32
301,920,47,2025-02-25,Cash,Delivered,2964.12
302,134,20,2025-06-09,Card,Delivered,2116.54
303,744,49,2025-02-19,UPI,Delivered,2963.31
304,365,19,2025-11-01,Card,Cancelled,1603.78
305,576,79,2025-11-24,Cash,Delivered,1709.36
306,691,37,2025-09-15,UPI,Cancelled,2352.12
307,531,98,2025-02-08,UPI,Cancelled,1373.59
308,140,76,2025-04-17,Card,Delivered,389.82
309,3,32,2025-07-24,Cash,Cancelled,623.75
310,208,35,2025-01-27,UPI,Cancelled,372.79
311,991,12,2025-05-02,Card,Cancelled,2435.12
312,789,8,2025-06-29,Card,Cancelled,1092.82
313,292,76,2025-04-02,Cash,Delivered,886.12
314,364,71,2025-01-29,Cash,Cancelled,303.83
315,977,100,2025-03-18,Cash,Delivered,2061.83
316,287,81,2025-05-04,Cash,Delivered,1575.95
317,720,38,2025-02-08,UPI,Cancelled,1720.98
318,924,65,2025-08-25,UPI,Cancelled,2182.71
319,343,69,2025-12-23,UPI,Delivered,213.12
320,800,18,2025-01-17,Cash,Cancelled,1351.22
321,736,70,2025-01-11,Cash,Cancelled,1129.97
322,648,10,2025-02-12,UPI,Cancelled,1927.02
323,505,2,2025-08-14,UPI,Cancelled,1721.01
324,33,85,2025-02-24,Card,Delivered,2912.26
325,930,35,2025-04-06,UPI,Cancelled,1953.8
326,860,27,2025-04-29,UPI,Cancelled,2005.95
327,548,25,2025-12-06,Cash,Cancelled,338.45
328,979,90,2025-07-14,Cash,Cancelled,1017.27
329,149,100,2025-01-31,UPI,Delivered,2403.66
330,857,28,2025-01-13,Card,Cancelled,1379.61
331,954,70,2025-02-10,UPI,Cancelled,239.47
332,978,70,2025-05-09,Card,Delivered,2820.23
333,313,100,2025-06-20,Cash,Cancelled,1463.44
334,192,42,2025-12-05,Card,Cancelled,2154.65
335,103,80,2025-02-18,UPI,Cancelled,1623.78
336,889,13,2025-07-28,UPI,Delivered,627.89
337,502,77,2025-02-01,UPI,Delivered,804.07
338,297,25,2025-04-04,Card,Cancelled,1250.34
339,500,60,2025-05-28,UPI,Cancelled,277.55
340,289,100,2025-08-18,UPI,Delivered,2133.99
341,190,97,2025-09-12,Card,Cancelled,404.07
342,503,95,2025-12-25,Card,Cancelled,2828.39
343,531,73,2025-07-29,Card,Delivered,1442.25
344,90,58,2025-07-19,Card,Cancelled,1079.92
345,590,39,2025-03-14,Card,Delivered,2894.39
346,376,84,2025-11-17,Card,Cancelled,1330.24
347,562,77,2025-05-07,UPI,Delivered,1646.94
348,263,54,2025-10-16,Card,Cancelled,198.94
349,809,63,2025-02-23,Card,Delivered,217.18
350,650,98,2025-12-09,Cash,Delivered,2066.5
351,388,83,2025-03-03,Cash,Delivered,2632.14
352,933,71,2025-01-01,Cash,Cancelled,2570.18
353,949,42,2025-03-29,Cash,Cancelled,2005.01
354,432,9,2025-12-27,Card,Cancelled,2171.66
355,267,44,2025-08-22,Cash,Delivered,874.82
356,469,21,2025-10-11,Card,Delivered,2212.08
357,109,72,2025-08-14,Card,Delivered,750.1
358,261,39,2025-03-09,UPI,Delivered,887.32
359,192,87,2025-04-17,Card,Delivered,2427.87
360,674,56,2025-03-12,Card,Cancelled,2413.37
361,357,83,2025-01-27,Card,Delivered,2506.21
362,227,99,2025-04-15,Cash,Cancelled,1014.13
363,315,75,2025-08-15,Cash,Delivered,201.68
364,341,48,2025-09-28,Card,Delivered,2114.22
365,162,90,2025-11-25,Cash,Cancelled,288.56
366,831,27,2025-07-03,Card,Delivered,901.64
367,703,75,2025-04-21,Cash,Delivered,1581.43
368,772,37,2025-04-17,Cash,Cancelled,336.46
369,982,15,2025-11-30,UPI,Cancelled,1728.12
370,467,51,2025-06-05,Cash,Delivered,2919.76
371,405,9,2025-11-18,UPI,Delivered,1360.86
372,955,37,2025-05-22,UPI,Cancelled,1965.23
373,571,44,2025-11-13,UPI,Delivered,767.81
374,749,56,2025-01-24,UPI,Delivered,2117.97
375,464,38,2025-02-08,Cash,Delivered,1095.33
376,959,69,2025-02-12,UPI,Delivered,1975.92
377,116,39,2025-12-21,Card,Cancelled,2969.85
378,928,37,2025-08-28,Cash,Cancelled,2656.1
379,204,50,2025-01-05,UPI,Cancelled,1865.75
380,34,15,2025-08-10,Card,Delivered,1649.55
381,82,71,2025-07-21,Card,Cancelled,1770.78
382,345,70,2025-01-13,UPI,Cancelled,2299.71
383,995,85,2025-07-23,UPI,Delivered,1751.04
384,47,75,2025-01-31,Card,Delivered,1192.07
385,932,62,2025-08-04,Card,Delivered,1571.25
386,385,31,2025-12-26,UPI,Delivered,2858.08
387,607,81,2025-04-12,Card,Cancelled,1928.9
388,434,60,2025-03-04,Card,Delivered,1338.3
389,764,3,2025-08-03,UPI,Delivered,976.62
390,913,86,2025-08-11,Cash,Delivered,897.36
391,708,97,2025-12-03,UPI,Cancelled,2416.43
392,207,73,2025-09-07,Card,Cancelled,2129.85
393,982,11,2025-09-18,UPI,Delivered,774.34
394,141,30,2025-05-12,Cash,Delivered,1213.92
395,119,79,2025-05-30,Cash,Delivered,2762.46
396,500,64,2025-02-09,Cash,Cancelled,2292.45
397,495,92,2025-02-15,Cash,Cancelled,1431.36
398,8,24,2025-01-05,Card,Cancelled,2780.27
399,400,39,2025-12-02,UPI,Cancelled,893.6
400,537,96,2025-09-15,Cash,Cancelled,2900.13
401,760,50,2025-02-06,UPI,Cancelled,2029.8
402,163,65,2025-07-07,Card,Cancelled,1770.34
403,62,76,2025-06-06,Cash,Cancelled,2123.22
404,960,19,2025-11-24,Cash,Cancelled,2728.69
405,880,68,2025-02-23,Card,Delivered,2730.96
406,153,73,2025-10-29,Cash,Delivered,589.02
407,19,35,2025-10-13,UPI,Cancelled,2376.84
408,105,6,2025-07-01,Cash,Delivered,2452.78
409,878,14,2025-11-27,UPI,Cancelled,1034.94
410,135,10,2025-12-20,Cash,Delivered,2125.12
411,442,22,2025-01-07,Card,Cancelled,2316.87
412,857,93,2025-01-17,Card,Delivered,721.11
413,506,76,2025-07-05,UPI,Delivered,1507.62
414,662,7,2025-08-26,UPI,Delivered,711.3
415,778,83,2025-01-07,Cash,Delivered,1014.59
416,754,56,2025-08-01,Cash,Delivered,840.65
417,718,63,2025-06-17,Cash,Delivered,1952.45
418,98,96,2025-12-18,Card,Cancelled,2448.12
419,263,21,2025-04-15,Cash,Cancelled,2965.23
420,856,6,2025-07-10,Card,Cancelled,2331.27
421,793,72,2025-04-09,UPI,Delivered,2654.44
422,334,32,2025-11-20,Cash,Delivered,1390.5
423,18,26,2025-07-19,Card,Cancelled,2012.19
424,859,87,2025-11-13,Cash,Cancelled,937.86
425,317,58,2025-02-03,Cash,Cancelled,1277.94
426,244,55,2025-05-24,Cash,Delivered,532.57
427,198,51,2025-03-02,Cash,Delivered,2170.2
428,871,46,2025-08-25,UPI,Delivered,2708.47
429,942,97,2025-04-16,Card,Delivered,2797.34
430,416,42,2025-11-09,UPI,Delivered,1333.02
431,271,59,2025-06-07,Cash,Delivered,813.77
432,23,95,2025-02-18,Card,Delivered,426.04
433,404,5,2025-05-03,Card,Cancelled,1589.72
434,49,31,2025-12-07,Cash,Delivered,1722.42
435,174,58,2025-07-10,UPI,Delivered,1995.84
436,704,91,2025-01-24,Card,Delivered,1145.55
437,94,64,2025-12-15,Cash,Cancelled,491.79
438,52,30,2025-05-11,Card,Cancelled,1321.6
439,438,24,2025-06-19,Card,Delivered,2767.42
440,92,43,2025-08-14,Cash,Cancelled,1655.48
441,354,1,2025-08-06,UPI,Delivered,2045.72
442,160,68,2025-12-08,Card,Delivered,2005.75
443,849,1,2025-03-09,UPI,Delivered,799.79
444,861,59,2025-01-28,Card,Cancelled,979.74
445,125,12,2025-03-28,Cash,Delivered,2096.24
446,825,42,2025-12-06,Cash,Delivered,1483.49
447,818,75,2025-04-07,Card,Cancelled,1456.02
448,539,75,2025-04-18,Card,Delivered,2284.17
449,834,71,2025-02-26,Cash,Delivered,2141.21
450,328,89,2025-11-02,Cash,Cancelled,293.19
451,354,2,2025-12-05,UPI,Cancelled,2005.9
452,897,70,2025-08-24,Cash,Cancelled,1365.24
453,197,13,2025-07-25,Card,Cancelled,998.9
454,130,9,2025-05-15,Cash,Cancelled,1482.73
455,714,38,2025-12-16,Card,Delivered,2451.83
456,356,84,2025-04-21,Card,Cancelled,1532.39
457,91,91,2025-02-07,Card,Delivered,714.7
458,79,55,2025-05-16,Cash,Cancelled,1961.43
459,828,38,2025-07-03,UPI,Cancelled,487.68
460,823,78,2025-05-02,Card,Delivered,2326.34
461,876,99,2025-11-08,Cash,Delivered,1122.95
462,245,2,2025-07-31,Card,Delivered,1584.71
463,182,73,2025-03-25,UPI,Cancelled,2378.37
464,130,11,2025-07-08,Cash,Cancelled,362.67
465,827,65,2025-05-11,Cash,Cancelled,2513.04
466,100,68,2025-01-24,Card,Delivered,1708.59
467,92,51,2025-12-30,UPI,Delivered,1951.11
468,752,57,2025-08-21,UPI,Delivered,497.63
469,835,94,2025-03-27,UPI,Cancelled,1435.87
470,482,50,2025-03-15,Card,Delivered,1896.84
471,948,22,2025-11-22,UPI,Delivered,663.2
472,948,34,2025-07-25,UPI,Delivered,2625.62
473,112,13,2025-02-14,UPI,Cancelled,1358.64
474,802,11,2025-06-10,Cash,Cancelled,2070.03
475,624,53,2025-04-15,UPI,Delivered,1048.48
476,288,78,2025-10-03,Cash,Cancelled,285.05
477,656,1,2025-11-21,UPI,Cancelled,2924.05
478,615,26,2025-09-17,UPI,Delivered,1443.06
479,705,43,2025-11-03,Cash,Cancelled,1385.65
480,94,80,2025-07-21,Card,Cancelled,2761.58
481,802,40,2025-05-03,UPI,Cancelled,155.01
482,198,46,2025-07-25,Card,Cancelled,2957.06
483,144,8,2025-11-04,Cash,Cancelled,2404.47
484,518,22,2025-01-21,Card,Cancelled,2015.15
485,734,76,2025-02-17,Card,Delivered,1299.87
486,898,61,2025-08-02,Card,Cancelled,2563.79
487,599,50,2025-07-14,UPI,Cancelled,300.47
488,257,69,2025-12-04,Cash,Cancelled,2530.12
489,862,100,2025-03-20,Cash,Delivered,1444.58
490,66,36,2025-02-11,Cash,Cancelled,1033.57
491,809,49,2025-07-12,Card,Delivered,353.9
492,837,72,2025-10-18,UPI,Delivered,1367.86
493,360,64,2025-11-23,Card,Delivered,2899.72
494,793,65,2025-11-22,Card,Cancelled,2663.49
495,852,29,2025-05-20,Card,Cancelled,2144.64
496,739,37,2025-09-10,Card,Delivered,908.84
497,175,85,2025-11-23,Cash,Cancelled,2811.93
498,267,40,2025-03-20,UPI,Delivered,605.73
499,11,20,2025-08-20,Cash,Cancelled,2996.74
500,925,100,2025-07-22,Cash,Delivered,1066.49
501,778,29,2025-08-19,Cash,Cancelled,1357.83
502,729,70,2025-11-20,Card,Delivered,1667.27
503,395,79,2025-07-29,UPI,Cancelled,1651.82
504,497,48,2025-09-29,UPI,Cancelled,1769.44
505,221,21,2025-02-15,UPI,Delivered,2828.92
506,667,64,2025-06-24,Card,Cancelled,1294.67
507,64,3,2025-06-18,UPI,Delivered,1134.24
508,622,62,2025-06-10,Card,Delivered,2108.27
509,356,48,2025-09-21,Cash,Delivered,2051.67
510,429,55,2025-06-25,Cash,Cancelled,414.56
511,576,18,2025-07-07,Card,Delivered,489.8
512,927,37,2025-10-02,UPI,Cancelled,812.41
513,236,31,2025-10-20,Cash,Cancelled,1164.88
514,611,81,2025-09-28,Card,Delivered,709.21
515,394,26,2025-05-04,Cash,Cancelled,2183.14
516,164,1,2025-10-08,UPI,Cancelled,1946.52
517,880,21,2025-03-18,UPI,Delivered,2984.94
518,912,27,2025-06-09,Card,Cancelled,1498.35
