delivery_id,order_id,partner_id,delivery_status,delivery_minutes
98,4059,257,Late,60
99,13442,229,Late,42
100,12203,190,Delivered,76
101,17202,297,Late,84
102,4310,3,Late,21
103,9372,90,Delivered,90
104,15122,17,Delivered,57
105,548,267,Delivered,33
106,3400,117,Delivered,30
107,18089,299,Delivered,32
108,1805,150,Delivered,42
109,10208,242,Delivered,62
110,19012,224,Late,25
111,1183,282,Late,50
112,5100,139,Late,66
113,4148,257,Late,46
114,12727,15,Late,80
115,18815,174,Delivered,26
116,13104,145,Delivered,63
117,14330,176,Delivered,51
118,10159,127,Delivered,82
119,13651,17,Delivered,84
120,17046,231,Delivered,82
121,12467,90,Delivered,35
122,9811,232,Late,89
123,16766,96,Late,23
124,11980,211,Late,40
125,12783,154,Late,48
126,2587,67,Late,25
127,1072,144,Delivered,53
128,11470,5,Late,57
129,6611,181,Delivered,65
130,8769,298,Delivered,35
131,3836,137,Late,50
132,11502,293,Late,82
133,9872,88,Late,44
134,238,245,Late,73
135,6854,81,Delivered,89
136,11484,270,Late,74
137,14538,30,Late,81
138,4779,77,Late,45
139,9375,30,Delivered,34
140,9390,5,Delivered,39
141,12545,87,Late,35
142,19153,99,Late,38
143,9667,298,Delivered,90
144,15869,166,Late,30
145,19934,182,Late,51
146,15482,174,Late,71
147,7871,145,Delivered,67
148,11210,292,Delivered,43
149,18870,116,Delivered,29
150,7325,90,Late,16
151,11098,269,Late,66
152,2813,9,Late,51
153,19141,85,Delivered,55
154,15527,179,Late,81
155,6120,15,Delivered,22
156,8389,222,Late,30
157,17752,197,Late,66
158,7047,129,Late,87
159,7235,78,Late,68
160,4936,270,Late,77
161,8890,216,Delivered,53
162,18735,1,Delivered,27
163,4766,143,Late,61
164,4097,145,Late,19
165,4755,226,Late,29
166,1808,222,Late,41
167,19357,134,Late,71
168,2643,184,Delivered,67
169,18074,20,Delivered,38
170,16246,133,Delivered,40
171,166,61,Late,81
172,3960,70,Late,39
173,16188,178,Delivered,32
174,15050,122,Delivered,47
175,15777,194,Late,59
176,14911,248,Delivered,90
177,1140,182,Late,56
178,11882,246,Delivered,79
179,7237,8,Late,89
180,11288,33,Late,34
181,5961,195,Late,64
182,274,207,Delivered,23
183,17069,222,Delivered,15
184,3096,181,Late,86
185,16347,112,Delivered,44
186,18804,81,Late,89
187,18440,115,Delivered,61
188,4321,139,Delivered,24
189,502,213,Late,60
190,4346,188,Late,50
191,849,281,Delivered,43
192,6594,44,Late,48
193,5482,239,Delivered,80
194,17589,12,Late,70
195,1246,207,Late,74
196,18378,83,Delivered,35
197,15168,52,Delivered,34
198,16083,77,Delivered,72
199,1858,207,Late,49
200,19497,153,Late,27
201,1288,246,Delivered,18
202,13464,271,Delivered,59
203,10117,87,Delivered,58
204,13168,106,Late,86
205,16319,179,Delivered,31
206,5410,59,Late,90
207,668,21,Late,81
208,11358,76,Late,87
209,3948,205,Late,70
210,3872,117,Delivered,87
211,2116,143,Delivered,24
212,13667,242,Late,85
213,770,95,Delivered,37
214,10303,220,Late,16
215,15302,41,Late,31
216,15762,285,Delivered,72
217,4394,263,Delivered,39
218,3830,246,Delivered,18
219,15572,260,Late,49
220,1305,77,Late,44
221,15997,178,Late,63
222,9075,183,Late,73
223,11963,212,Delivered,47
224,7686,135,Delivered,26
225,9932,282,Late,43
226,8646,130,Delivered,18
227,3101,287,Late,66
228,12818,179,Late,50
229,10555,134,Delivered,71
230,6897,47,Delivered,86
231,12484,46,Late,26
232,8956,34,Delivered,40
233,14067,115,Delivered,50
234,428,280,Late,39
235,14345,212,Delivered,64
236,3954,184,Late,62
237,14908,54,Late,31
238,13578,66,Delivered,53
239,8988,86,Delivered,88
240,18056,171,Late,81
241,17605,122,Late,85
242,5811,188,Late,63
243,12970,267,Delivered,51
244,5634,87,Late,56
245,4379,78,Delivered,30
246,4315,262,Late,57
247,11798,20,Late,37
248,8855,151,Late,30
249,707,249,Late,80
250,16328,24,Delivered,17
251,8752,3,Late,58
252,12304,208,Delivered,41
253,10044,183,Late,55
254,4445,181,Late,72
255,12300,146,Late,63
256,17527,271,Late,44
257,6629,133,Late,35
258,2381,218,Late,69
259,738,194,Delivered,42
260,16875,167,Delivered,76
261,3256,209,Delivered,66
262,11738,133,Delivered,70
263,8137,239,Delivered,27
264,10415,213,Late,65
265,15378,233,Late,66
266,6628,144,Late,57
267,4697,87,Late,75
268,14979,194,Delivered,56
269,4562,45,Delivered,72
270,4109,98,Late,52
271,16253,81,Delivered,51
272,10079,13,Late,72
273,2320,252,Delivered,46
274,12981,185,Delivered,65
275,11295,205,Delivered,79
276,7905,159,Delivered,57
277,9131,58,Delivered,38
278,8679,293,Delivered,39
279,13675,124,Delivered,16
280,4654,281,Delivered,65
281,15307,6,Late,55
282,16307,152,Delivered,70
283,10749,119,Late,21
284,6541,140,Late,74
285,12532,157,Delivered,60
286,18925,61,Late,45
287,11735,138,Late,22
288,11028,300,Late,66
289,8559,151,Late,56
290,15479,168,Late,40
291,5328,15,Late,48
292,12761,105,Late,81
293,1852,166,Delivered,77
294,16721,68,Delivered,65
295,18054,155,Delivered,67
296,18092,51,Late,51
297,7214,95,Late,51
298,7585,144,Delivered,77
299,17314,164,Late,74
300,6383,219,Delivered,33
301,9454,58,Late,52
302,19511,57,Delivered,59
303,2803,223,Delivered,79
304,8311,181,Delivered,54
305,471,16,Delivered,29
306,12987,158,Late,89
307,637,212,Delivered,59
308,17525,229,Late,77
309,16011,268,Late,69
310,13523,286,Late,33
311,1602,118,Delivered,18
312,18305,134,Late,89
313,18166,170,Delivered,52
314,11407,16,Late,88
315,11254,175,Delivered,78
316,12173,136,Delivered,45
317,941,22,Delivered,43
318,10113,295,Delivered,46
319,1241,225,Delivered,30
320,14424,181,Delivered,39
321,5866,37,Delivered,87
322,3134,144,Delivered,30
323,16690,198,Delivered,28
324,19258,222,Late,60
325,6969,154,Delivered,51
326,9878,200,Delivered,16
327,15387,248,Late,54
328,646,170,Late,24
329,11858,77,Delivered,69
330,4865,54,Late,70
331,1574,190,Late,76
332,3062,295,Delivered,21
333,1107,133,Late,85
334,10041,129,Delivered,37
335,12916,219,Delivered,77
336,10618,197,Delivered,49
337,7336,273,Late,40
338,5106,103,Late,37
339,13019,169,Late,34
340,19963,97,Late,55
341,17507,66,Delivered,55
342,6872,119,Late,68
343,10801,65,Delivered,72
344,9241,242,Late,19
345,9581,165,Delivered,50
346,3273,300,Delivered,39
347,8963,101,Delivered,48
348,2462,22,Delivered,73
349,13557,131,Late,68
350,5494,178,Delivered,34
351,6558,116,Delivered,67
352,387,260,Delivered,80
353,16771,133,Late,62
354,11313,131,Delivered,26
355,17458,125,Late,61
356,4824,119,Late,56
357,6976,9,Delivered,87
358,10459,192,Delivered,74
359,6021,70,Delivered,40
360,16378,152,Delivered,32
361,12066,99,Late,60
362,16941,289,Late,60
363,5452,140,Late,62
364,869,217,Delivered,46
365,15811,249,Delivered,46
366,1008,8,Delivered,19
367,18802,167,Delivered,84
368,7125,120,Delivered,81
369,12660,228,Delivered,78
370,7947,208,Late,47
371,9094,250,Delivered,29
372,15991,128,Late,26
373,745,290,Late,59
374,17153,91,Late,25
375,6702,293,Late,43
376,12653,264,Delivered,86
377,8214,25,Delivered,64
378,968,247,Delivered,64
379,646,279,Late,36
380,306,142,Late,56
381,17898,17,Delivered,45
382,10406,256,Late,20
383,18518,210,Late,25
384,18565,190,Delivered,25
385,19457,171,Delivered,80
386,10318,27,Delivered,36
387,6129,51,Delivered,79
388,19707,184,Delivered,30
389,1443,93,Late,42
390,4894,240,Delivered,40
391,13226,69,Late,47
392,18900,214,Late,15
393,14338,169,Late,74
394,15505,27,Late,84
395,10181,224,Delivered,58
396,17686,265,Late,21
397,11342,7,Late,24
398,6504,113,Late,76
399,17584,294,Late,50
400,1346,144,Late,58
401,3333,241,Late,28
402,13791,119,Late,28
403,18335,119,Late,86
404,4023,36,Late,28
405,18943,199,Delivered,66
406,12503,20,Delivered,66
407,13405,130,Delivered,69
408,3649,108,Delivered,60
409,10734,263,Late,60
410,13462,208,Delivered,28
411,14932,197,Delivered,48
412,9703,104,Delivered,37
413,9474,297,Late,51
414,18276,95,Late,27
415,733,211,Late,25
416,3416,32,Delivered,43
417,4855,289,Late,15
418,17978,159,Late,26
419,2992,121,Late,19
420,18826,114,Delivered,68
421,18589,127,Delivered,45
422,11529,22,Late,19
423,12946,36,Late,66
424,8308,123,Delivered,84
425,8762,227,Late,53
426,663,108,Late,85
427,16561,218,Late,31
428,16890,131,Late,85
429,10552,118,Late,83
430,17808,56,Delivered,55
431,15393,79,Late,20
432,14104,299,Delivered,85
433,242,245,Late,45
434,16711,107,Late,23
435,8295,264,Delivered,56
436,8834,119,Late,75
437,18899,189,Late,21
438,3323,65,Delivered,80
439,18008,124,Delivered,39
440,8330,59,Delivered,44
441,3796,288,Late,69
442,3357,74,Delivered,69
443,14764,214,Late,67
444,7644,148,Delivered,48
445,7971,86,Late,23
446,5584,42,Delivered,42
447,96,68,Delivered,29
448,17267,15,Delivered,58
449,12608,216,Delivered,87
450,15453,42,Late,36
451,18003,5,Delivered,16
452,4868,41,Late,34
453,8676,53,Delivered,49
454,7547,130,Delivered,50
455,12066,280,Late,83
456,3656,196,Late,53
457,13771,27,Late,19
458,17360,180,Delivered,69
459,7254,88,Delivered,65
460,2506,70,Delivered,42
461,19344,278,Late,61
462,7954,91,Late,51
463,3920,208,Delivered,37
464,9846,207,Late,72
465,15619,117,Late,65
466,2184,53,Delivered,63
467,11071,149,Late,75
468,16883,206,Late,62
469,13401,172,Delivered,45
470,17225,267,Delivered,61
471,3462,166,Delivered,50
472,5663,171,Late,37
473,14330,42,Delivered,26
474,7217,234,Late,61
475,4281,199,Late,77
476,8904,146,Delivered,76
477,350,218,Delivered,58
478,9900,265,Late,77
479,2795,119,Delivered,32
480,4619,213,Late,27
481,11373,125,Delivered,45
482,14089,178,Late,87
483,121,211,Late,69
484,5704,99,Late,41
485,9016,67,Late,21
486,13368,282,Delivered,31
487,17007,289,Delivered,74
488,18462,62,Delivered,65
489,8465,293,Delivered,53
490,14348,252,Late,90
491,18778,9,Late,47
492,18581,19,Late,85
493,6123,91,Late,75
494,3863,278,Late,82
495,17717,87,Late,52
496,19615,292,Delivered,74
497,11202,275,Delivered,85
498,5893,131,Delivered,36
499,16007,144,Late,84
500,10593,54,Delivered,57
501,18319,300,Late,69
502,1453,285,Delivered,61
503,17971,193,Delivered,76
504,4874,238,Late,82
505,16992,212,Late,39
506,13031,260,Delivered,87
507,19778,206,Delivered,61
508,4798,241,Delivered,33
509,202,258,Late,60
510,4094,80,Late,48
511,4975,194,Delivered,28
512,14320,154,Late,31
513,17126,150,Late,79
514,16166,116,Late,31
515,14665,287,Delivered,62
516,18449,3,Delivered,60
517,14266,180,Delivered,42
518,5448,52,Delivered,79
519,4098,209,Late,43
520,13037,15,Delivered,55
521,18225,257,Delivered,51
522,19760,70,Late,31
523,17831,186,Delivered,27
524,17671,62,Late,47
525,16174,1,Delivered,20
526,17242,138,Late,15
527,12797,286,Late,20
528,18505,182,Delivered,51
529,19125,24,Delivered,70
530,19012,294,Late,83
531,12618,21,Delivered,54
532,14098,188,Late,76
533,2047,3,Delivered,25
534,16011,183,Late,53
535,8507,6,Delivered,28
536,19777,255,Late,80
537,18658,260,Delivered,23
538,15750,161,Late,32
539,14959,210,Delivered,45
540,9748,202,Late,54
541,3532,76,Delivered,25
542,6389,292,Delivered,53
543,7464,45,Late,58
544,13427,68,Late,70
545,1226,190,Late,66
546,368,60,Delivered,82
547,4694,287,Late,74
548,15994,151,Late,39
549,6799,88,Delivered,87
550,9007,277,Late,46
551,8592,220,Late,65
552,4902,271,Delivered,42
553,15629,99,Delivered,27
554,15050,154,Delivered,84
555,14698,289,Late,32
556,6764,6,Delivered,76
557,8509,263,Late,25
558,1809,103,Late,82
559,9384,82,Delivered,31
560,16801,217,Delivered,32
561,10313,247,Late,44
562,4683,298,Late,90
563,80,205,Late,38
564,11634,117,Delivered,84
565,14628,49,Late,20
566,6895,169,Delivered,83
567,12675,268,Delivered,42
568,8499,187,Late,63
569,16253,189,Delivered,20
570,6915,27,Delivered,42
571,7574,37,Delivered,61
572,17784,37,Late,44
573,13921,102,Delivered,75
574,19188,111,Late,43
575,12801,38,Delivered,79
576,17158,81,Delivered,30
577,5348,24,Late,82
578,7561,261,Delivered,83
579,5297,236,Delivered,86
580,5825,286,Late,48
581,13066,115,Delivered,84
582,3828,103,Late,79
583,13168,172,Late,81
584,6556,297,Delivered,34
585,12988,20,Delivered,73
586,14836,211,Delivered,60
587,13755,82,Delivered,76
588,10282,20,Late,83
589,10727,67,Late,54
590,7628,51,Delivered,16
591,10977,212,Delivered,81
592,4413,94,Late,34
593,9466,67,Delivered,47
594,6905,279,Late,20
595,19120,186,Delivered,34
596,15232,59,Delivered,56
597,5614,258,Late,61
598,5129,279,Late,26
599,9345,54,Late,45
600,8346,75,Late,81
601,3947,103,Delivered,72
602,16075,249,Delivered,25
603,12546,16,Delivered,82
604,11376,239,Delivered,52
605,19850,280,Late,27
606,8444,103,Delivered,30
607,2924,15,Late,65
608,13768,253,Delivered,22
609,11469,179,Delivered,75
610,5392,67,Delivered,79
611,4950,248,Late,51
612,10331,107,Delivered,53
613,9561,76,Delivered,65
614,2301,65,Delivered,30
615,19246,235,Late,17
616,9425,84,Delivered,71
617,8479,157,Delivered,64
618,18411,37,Late,56
619,1998,92,Delivered,52
620,9380,106,Delivered,81
621,9990,285,Delivered,79
622,15258,110,Late,53
623,8587,5,Late,63
624,4596,250,Delivered,69
625,1188,285,Delivered,18
626,14312,184,Delivered,30
627,10991,12,Delivered,27
628,8228,114,Delivered,25
629,16448,135,Delivered,82
630,17360,255,Late,19
631,11489,168,Delivered,30
632,1202,99,Late,42
633,8486,284,Delivered,15
634,16107,158,Delivered,62
635,12574,20,Delivered,70
636,17531,111,Delivered,59
637,13399,114,Late,48
638,10051,248,Late,22
639,13177,81,Late,74
640,5065,178,Late,43
641,11976,204,Delivered,83
642,16269,228,Delivered,76
643,10538,37,Delivered,37
644,13796,125,Late,72
645,5940,236,Delivered,76
646,10161,199,Delivered,79
647,6269,177,Delivered,39
648,12405,41,Delivered,61
649,6954,219,Delivered,83
650,6501,286,Delivered,70
651,3021,44,Delivered,24
652,18865,19,Delivered,48
653,5410,131,Delivered,70
654,19870,252,Late,77
655,14677,249,Delivered,22
656,6861,24,Delivered,64
657,12261,158,Late,81
658,1728,284,Late,60
659,4551,199,Delivered,22
660,14024,110,Delivered,22
661,7819,203,Delivered,24
662,14290,144,Late,89
663,8947,18,Delivered,19
664,11149,145,Late,37
665,10551,232,Late,37
666,12340,35,Delivered,90
667,7001,68,Delivered,73
668,11400,116,Late,33
669,1449,170,Delivered,65
670,18252,93,Delivered,76
671,19148,275,Late,85
672,9093,139,Delivered,35
673,12827,88,Late,57
674,7722,204,Late,86
675,8375,71,Delivered,49
676,10410,34,Late,51
677,1134,291,Late,81
678,2039,84,Delivered,33
679,1768,70,Delivered,62
680,19041,112,Late,79
681,16230,272,Delivered,17
682,16280,181,Delivered,15
683,16309,108,Late,42
684,18536,187,Late,83
685,11392,79,Delivered,27
686,2902,128,Late,57
687,8098,183,Delivered,68
688,18533,206,Delivered,40
689,13536,85,Delivered,62
690,1804,43,Late,27
691,4505,251,Late,47
692,11509,32,Late,66
693,14738,209,Late,72
694,6578,53,Delivered,64
695,3180,241,Delivered,60
696,16112,167,Late,65
697,19589,275,Delivered,58
698,1951,109,Delivered,80
699,13526,89,Late,86
700,15354,8,Late,73
701,91,149,Late,86
702,10918,239,Delivered,48
703,6576,119,Late,57
704,17784,290,Late,39
705,15562,204,Late,53
706,15983,60,Late,65
707,13066,49,Late,89
708,19067,30,Late,26
709,14662,29,Delivered,19
710,19946,253,Late,47
711,8879,256,Late,25
712,12093,295,Delivered,44
713,9555,90,Late,19
714,18962,116,Late,49
715,16325,144,Delivered,24
716,16034,36,Late,53
717,7495,222,Delivered,44
718,10497,2,Delivered,81
719,3469,298,Late,31
720,10420,129,Delivered,82
721,5429,268,Delivered,51
722,4683,260,Late,82
723,15220,223,Delivered,69
724,785,50,Late,84
725,5855,12,Late,57
726,3302,290,Delivered,23
727,13872,102,Late,86
728,6388,35,Late,53
729,4810,185,Delivered,90
730,7083,263,Late,37
731,14336,88,Delivered,40
732,9134,289,Late,22
733,18347,109,Delivered,24
734,4400,56,Late,51
735,3404,182,Delivered,26
736,11719,292,Late,85
737,2711,266,Late,89
738,8891,299,Late,28
739,18555,168,Delivered,49
740,19020,5,Delivered,48
741,16487,167,Late,56
742,19890,155,Delivered,38
743,4985,134,Late,34
744,6204,39,Delivered,84
745,19458,164,Late,71
746,3602,216,Late,65
747,3852,223,Late,31
748,7103,35,Delivered,33
749,18247,120,Late,54
750,19087,118,Delivered,29
751,12349,222,Delivered,15
752,12887,177,Late,39
753,4965,230,Delivered,51
754,12202,169,Late,79
755,2429,231,Late,34
756,10780,110,Delivered,45
757,19473,8,Late,25
758,10539,1,Late,73
759,5150,47,Delivered,79
760,12356,221,Late,86
761,7948,11,Late,85
762,3316,69,Delivered,69
763,16968,26,Late,25
764,13536,117,Delivered,89
765,2831,170,Late,89
766,14171,107,Delivered,51
767,17179,240,Late,48
768,2281,10,Late,34
769,5494,112,Delivered,19
770,19986,20,Delivered,65
771,5009,218,Delivered,47
772,14829,267,Delivered,32
773,17076,69,Delivered,89
774,6456,199,Delivered,59
775,7175,59,Late,81
776,13500,155,Late,62
777,15512,212,Delivered,72
778,13755,108,Delivered,36
779,19863,215,Delivered,34
780,1705,165,Delivered,84
781,5067,175,Late,41
782,11869,158,Delivered,20
783,5382,110,Late,60
784,12786,290,Delivered,35
785,2824,235,Delivered,65
786,12782,211,Late,58
787,10379,242,Late,17
788,13057,22,Delivered,74
789,4112,36,Delivered,18
790,4213,250,Late,65
791,12960,175,Late,88
792,13979,223,Late,28
793,8824,29,Late,21
794,107,262,Late,79
795,7908,17,Late,70
796,4571,257,Delivered,80
797,2691,266,Late,37
798,1230,52,Delivered,16
799,3346,216,Late,76
800,16569,46,Late,17
801,15889,149,Delivered,54
802,5502,237,Late,20
803,1162,93,Delivered,50
804,13422,280,Late,66
805,5526,142,Late,74
806,16119,186,Delivered,21
807,7112,218,Late,67
808,14234,58,Late,75
809,563,252,Late,72
810,19648,161,Late,36
811,9683,286,Late,67
812,7575,37,Delivered,88
813,17838,166,Delivered,80
814,2301,10,Delivered,56
815,16365,73,Late,37
816,3894,122,Late,81
817,97,251,Delivered,84
818,17656,293,Late,78
819,5837,183,Delivered,64
820,17897,164,Late,78
821,6415,168,Late,84
822,2220,280,Delivered,81
823,19691,134,Late,44
824,18769,109,Late,70
825,14036,144,Delivered,24
826,9371,146,Delivered,24
827,18691,149,Late,16
828,10730,207,Delivered,65
829,7633,39,Delivered,33
830,7542,119,Late,59
831,10656,201,Late,70
832,2467,121,Late,19
833,15256,271,Delivered,71
834,15601,206,Delivered,34
835,13236,74,Late,84
836,17519,40,Late,29
837,18829,261,Late,30
838,11460,285,Late,57
839,10257,125,Late,85
840,17483,248,Late,70
841,17544,161,Delivered,66
842,5531,251,Late,29
843,10681,274,Delivered,63
844,15347,133,Late,46
845,14207,206,Late,58
846,16319,12,Delivered,86
847,13438,126,Delivered,49
848,15027,73,Delivered,87
849,2210,106,Late,23
850,19241,9,Delivered,84
851,10367,215,Late,78
852,6196,286,Late,47
853,1663,48,Delivered,46
854,13727,77,Late,37
855,5597,11,Late,37
856,4546,55,Delivered,28
857,8641,268,Late,48
858,3141,103,Delivered,69
859,18723,15,Late,69
860,11910,19,Delivered,37
861,4848,295,Late,41
862,709,85,Late,32
863,31,163,Delivered,82
864,17722,126,Delivered,41
865,19538,134,Delivered,82
866,2996,143,Late,86
867,19916,36,Late,20
868,9525,141,Late,45
869,17574,286,Delivered,30
870,19156,5,Late,64
871,4697,34,Late,77
872,7139,98,Late,27
873,12483,206,Late,77
874,2837,300,Late,63
875,19233,259,Late,35
876,365,245,Delivered,56
877,2915,25,Delivered,45
878,12413,111,Delivered,28
879,12162,141,Late,75
880,12361,175,Delivered,25
881,10855,81,Delivered,75
882,10086,23,Late,83
883,17883,222,Late,23
884,6153,131,Late,73
885,8832,93,Delivered,27
886,12790,126,Late,41
887,4656,91,Late,73
888,3142,153,Late,33
889,15574,132,Delivered,55
890,15190,202,Late,53
891,588,125,Delivered,77
892,16350,209,Delivered,57
893,8503,286,Delivered,82
894,2331,75,Delivered,45
895,12300,16,Delivered,66
896,10284,87,Delivered,67
897,6223,8,Late,39
898,11677,126,Delivered,87
899,10887,202,Late,83
900,4859,299,Late,67
901,19429,260,Delivered,77
902,17645,188,Late,80
903,11108,58,Delivered,85
904,4459,236,Delivered,76
905,4463,135,Late,57
906,17264,166,Delivered,55
907,4288,71,Late,90
908,8802,147,Late,49
909,6116,113,Late,78
910,4364,219,Late,73
911,14763,231,Delivered,49
912,14977,162,Late,87
913,18133,162,Late,77
914,11805,43,Late,52
915,16100,106,Delivered,38
916,3931,108,Delivered,29
917,15990,2,Late,27
918,41,50,Delivered,57
919,1845,175,Late,53
920,4474,35,Delivered,23
921,12186,168,Late,58
922,6660,88,Delivered,23
923,16846,261,Late,66
924,19553,242,Late,32
925,7314,31,Delivered,52
926,16681,160,Late,89
927,18510,70,Delivered,43
928,13982,203,Late,53
929,8137,166,Delivered,85
930,16714,37,Delivered,66
931,4673,177,Late,34
932,12178,177,Delivered,28
933,15961,141,Late,25
934,10432,47,Delivered,61
935,6813,245,Late,51
936,5033,89,Late,27
937,11598,252,Late,33
938,839,249,Delivered,15
939,7701,93,Delivered,71
940,17801,289,Delivered,69
941,16026,269,Delivered,15
942,16761,109,Delivered,52
943,9251,213,Late,78
944,10363,254,Delivered,87
945,321,261,Late,72
946,8667,287,Delivered,55
947,12611,203,Delivered,64
948,8864,297,Late,89
949,10394,129,Late,47
950,6355,267,Late,70
951,7966,166,Late,51
952,9247,194,Delivered,51
953,17478,26,Delivered,83
954,16502,269,Late,42
955,12124,251,Delivered,79
956,14741,107,Late,69
957,15436,242,Late,52
958,17055,90,Delivered,54
959,18628,21,Delivered,72
960,3493,20,Delivered,64
961,6319,204,Delivered,50
962,11353,300,Delivered,48
963,11205,24,Delivered,84
964,6318,32,Delivered,86
965,2464,99,Delivered,65
966,12554,241,Late,16
967,5425,25,Delivered,74
968,2638,41,Delivered,84
969,16848,69,Late,76
970,17272,125,Delivered,33
971,763,113,Delivered,23
972,13391,160,Late,81
973,8692,215,Delivered,68
974,16318,58,Delivered,30
975,10023,75,Late,53
976,16372,184,Late,70
977,6238,203,Delivered,50
978,2953,123,Delivered,83
979,3340,13,Late,30
980,4398,216,Late,18
981,19752,105,Late,65
982,7816,258,Late,31
983,19555,254,Late,48
984,3765,251,Late,68
985,16425,106,Late,49
986,3169,104,Late,61
987,16330,39,Late,83
988,14137,38,Delivered,22
989,8222,270,Late,86
990,15378,228,Late,66
991,98,218,Late,18
992,10245,268,Delivered,28
993,7604,61,Delivered,44
994,6780,26,Late,54
995,15258,218,Late,48
996,19367,230,Delivered,62
997,4158,270,Late,61
998,5881,279,Late,63
999,14216,79,Delivered,41
1000,13770,114,Delivered,52
1001,19773,104,Late,27
1002,19918,24,Late,58
1003,10059,229,Delivered,52
1004,4011,55,Delivered,45
1005,6437,93,Delivered,40
1006,18112,274,Delivered,37
1007,15762,110,Delivered,39
1008,418,229,Late,16
1009,2911,40,Delivered,18
1010,15387,183,Delivered,70
1011,4409,38,Late,55
1012,11278,252,Delivered,31
1013,19629,181,Delivered,17
1014,14512,84,Delivered,59
1015,8454,296,Late,74
1016,11586,270,Late,16
1017,8825,202,Delivered,37
1018,4913,261,Late,90
1019,2331,108,Late,85
1020,19168,263,Delivered,42
1021,18573,248,Delivered,53
1022,13802,70,Late,68
1023,3636,129,Late,29
1024,721,57,Late,52
1025,16027,263,Delivered,71
1026,8167,91,Late,52
1027,16326,255,Delivered,84
1028,17318,49,Late,38
1029,695,132,Delivered,76
1030,8605,53,Late,58
1031,7293,2,Delivered,23
1032,14064,56,Late,90
1033,14320,249,Delivered,22
1034,11856,210,Late,86
1035,2616,45,Late,25
1036,9306,145,Late,80
1037,17160,139,Delivered,21
1038,1991,143,Delivered,57
1039,9174,2,Late,50
1040,779,113,Delivered,80
1041,8507,164,Late,59
1042,13036,174,Delivered,28
1043,11682,146,Late,45
1044,8388,78,Delivered,77
1045,4824,294,Late,43
1046,2153,259,Delivered,16
1047,2409,76,Late,39
1048,9146,10,Delivered,72
1049,11047,153,Delivered,16
1050,9498,76,Late,44
1051,11896,293,Delivered,49
1052,19879,73,Delivered,72
1053,15460,12,Delivered,63
1054,15782,241,Delivered,57
1055,19043,288,Delivered,30
1056,275,110,Late,64
1057,4737,261,Late,56
1058,17027,271,Delivered,21
1059,18021,99,Late,53
1060,14835,62,Delivered,78
1061,18401,84,Late,64
1062,15662,59,Late,61
1063,7817,80,Late,54
1064,11370,85,Delivered,22
1065,532,37,Late,24
1066,15898,53,Late,50
1067,16834,161,Late,72
1068,18010,159,Late,79
1069,15589,16,Late,52
1070,15693,219,Late,22
1071,6473,205,Late,19
