menu_id,restaurant_id,item_name,category,price
383,37,Item_383,Veg,422
384,15,Item_384,Drink,549
385,48,Item_385,Non-Veg,348
386,20,Item_386,Drink,94
387,29,Item_387,Drink,520
388,4,Item_388,Dessert,185
389,10,Item_389,Non-Veg,136
390,56,Item_390,Dessert,536
391,35,Item_391,Non-Veg,158
392,15,Item_392,Drink,565
393,38,Item_393,Dessert,529
394,64,Item_394,Non-Veg,163
395,93,Item_395,Veg,256
396,51,Item_396,Drink,86
397,28,Item_397,Dessert,533
398,61,Item_398,Veg,302
399,11,Item_399,Non-Veg,405
400,76,Item_400,Drink,548
401,24,Item_401,Dessert,578
402,61,Item_402,Drink,453
403,76,Item_403,Drink,253
404,61,Item_404,Veg,379
405,88,Item_405,Veg,340
406,27,Item_406,Veg,102
407,82,Item_407,Drink,490
408,93,Item_408,Veg,307
409,30,Item_409,Drink,130
410,12,Item_410,Dessert,214
411,20,Item_411,Veg,399
412,99,Item_412,Drink,122
413,74,Item_413,Non-Veg,553
414,4,Item_414,Dessert,559
415,21,Item_415,Non-Veg,106
416,49,Item_416,Non-Veg,394
417,43,Item_417,Non-Veg,572
418,48,Item_418,Drink,341
419,13,Item_419,Non-Veg,406
420,65,Item_420,Drink,469
421,12,Item_421,Drink,360
422,1,Item_422,Non-Veg,170
423,30,Item_423,Veg,272
424,14,Item_424,Drink,485
425,35,Item_425,Veg,272
426,13,Item_426,Non-Veg,239
427,32,Item_427,Non-Veg,398
428,1,Item_428,Dessert,427
429,69,Item_429,Non-Veg,397
430,34,Item_430,Dessert,468
431,53,Item_431,Dessert,488
432,16,Item_432,Dessert,440
433,55,Item_433,Veg,571
434,72,Item_434,Veg,269
435,75,Item_435,Non-Veg,597
436,80,Item_436,Drink,142
437,20,Item_437,Drink,134
438,86,Item_438,Veg,542
439,39,Item_439,Dessert,549
440,34,Item_440,Veg,398
441,17,Item_441,Dessert,473
442,61,Item_442,Non-Veg,243
443,92,Item_443,Veg,322
444,53,Item_444,Dessert,353
445,39,Item_445,Veg,374
446,91,Item_446,Dessert,325
447,19,Item_447,Non-Veg,278
448,75,Item_448,Drink,342
449,84,Item_449,Drink,446
450,66,Item_450,Drink,149
451,60,Item_451,Drink,481
452,76,Item_452,Drink,557
453,10,Item_453,Veg,236
454,32,Item_454,Veg,567
455,18,Item_455,Non-Veg,437
456,28,Item_456,Drink,130
457,44,Item_457,Veg,302
458,18,Item_458,Dessert,599
459,52,Item_459,Veg,470
460,60,Item_460,Drink,446
461,30,Item_461,Drink,521
462,1,Item_462,Veg,485
463,15,Item_463,Veg,205
464,88,Item_464,Veg,241
465,99,Item_465,Drink,502
466,18,Item_466,Non-Veg,287
467,22,Item_467,Veg,238
468,65,Item_468,Drink,533
469,67,Item_469,Drink,214
470,69,Item_470,Drink,372
471,18,Item_471,Drink,99
472,74,Item_472,Veg,218
473,10,Item_473,Non-Veg,349
474,80,Item_474,Drink,482
475,58,Item_475,Veg,175
476,79,Item_476,Dessert,446
477,61,Item_477,Veg,569
478,64,Item_478,Drink,524
479,71,Item_479,Non-Veg,243
480,17,Item_480,Non-Veg,343
481,91,Item_481,Veg,355
482,42,Item_482,Drink,297
483,57,Item_483,Drink,348
484,60,Item_484,Non-Veg,482
485,35,Item_485,Veg,247
486,13,Item_486,Dessert,160
487,51,Item_487,Drink,577
488,12,Item_488,Non-Veg,395
489,72,Item_489,Dessert,163
490,6,Item_490,Drink,278
491,80,Item_491,Veg,124
492,4,Item_492,Veg,561
493,50,Item_493,Dessert,165
494,40,Item_494,Dessert,425
495,6,Item_495,Dessert,347
496,57,Item_496,Non-Veg,194
497,83,Item_497,Veg,130
498,96,Item_498,Dessert,305
499,93,Item_499,Drink,489
500,79,Item_500,Drink,559
